DURAK_ADI,display_name
Memleket Cad.,"Çakmaklı Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
Mihrimah Sk.,"Çakmaklı Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
Büyükçekmece Iski Tesisleri İç Yolu,"19 Mayıs Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Eskice Karaağaç Yolu Cad.,"19 Mayıs Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Gülnihal Sk.,"Karaağaç Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
Behçet Kemal Çağlar Cad.,"19 Mayıs Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Behçet Kemal Çağlar Cad.,"19 Mayıs Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Eski Ankara Asfaltı,"Tepeören Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Emir Sultan Cad.,"Harmandere Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Ankara Cad.,"Güllü Bağlar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34906, Türkiye"
Nazım Hikmet Bulvarı,"Piri Reis Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Nazım Hikmet Bulvarı,"Piri Reis Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Bağlantı Yolu,"19 Mayıs Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Hadımköy-İstanbul Cad.,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
Hadımköy Yolu Cad.,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
D-100 Karayolu,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
D-100 Karayolu,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
Yaya Yolu,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
Karadeniz Cad.,"Celaliye Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34534, Türkiye"
Esentepe Cad.,"Celaliye Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34534, Türkiye"
Kuran Kursu Cad.,"Mehmet Akif Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Semerkant Bulvarı,
Aydos Cad.,"Ertuğrul Gazi Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34909, Türkiye"
Aydos Cad.,"Ertuğrul Gazi Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34909, Türkiye"
Semerkant Bulvarı,"Ertuğrul Gazi Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34909, Türkiye"
Semerkant Bulvarı,"Çamlık Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34912, Türkiye"
Semerkant Bulvarı,"Çamlık Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34912, Türkiye"
Semerkant Bulvarı,
Semerkant Bulvarı,"Çamlık Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34912, Türkiye"
Semerkant Bulvarı,
