İlçe,Mahalle Adı,Nüfus
Adalar,Burgazada,1620
Adalar,Heybeliada,4469
Adalar,Kınalıada,1987
Adalar,Maden,4914
Adalar,Nizam,3989
Arnavutköy,Adnan Menderes,4693
Arnavutköy,Anadolu,47828
Arnavutköy,Arnavutköy Merkez,23116
Arnavutköy,Atatürk,10566
Arnavutköy,Baklalı,866
Arnavutköy,Balaban,458
Arnavutköy,Boğazköy İstiklal,12829
Arnavutköy,Bolluca,8446
Arnavutköy,Boyalık,758
Arnavutköy,Çilingir,1200
Arnavutköy,Deliklikaya,8786
Arnavutköy,Dursunköy,433
Arnavutköy,Durusu,756
Arnavutköy,Fatih,3986
Arnavutköy,Hacımaşlı,671
Arnavutköy,Hadımköy,27328
Arnavutköy,Haraççı,11474
Arnavutköy,Hastane,10966
Arnavutköy,Hicret,4141
Arnavutköy,İmrahor,12088
Arnavutköy,İslambey,27179
Arnavutköy,Karaburun,1903
Arnavutköy,Karlıbayır,11086
Arnavutköy,Mareşal Fevzi Çakmak,7116
Arnavutköy,Mavigöl,10249
Arnavutköy,Mehmet Akif Ersoy,7429
Arnavutköy,Mustafa Kemal Paşa,17766
Arnavutköy,Nenehatun,11199
Arnavutköy,Ömerli,7471
Arnavutköy,Sazlıbosna,1054
Arnavutköy,Taşoluk,10345
Arnavutköy,Tayakadın,3716
Arnavutköy,Terkos,926
Arnavutköy,Yassıören,675
Arnavutköy,Yavuz Selim,12961
Arnavutköy,Yeniköy,1548
Arnavutköy,Yeşilbayır,611
Arnavutköy,Yunus Emre,20245
Avcılar,Ambarlı,34420
Avcılar,Cihangir,61666
Avcılar,Denizköşkler,40028
Avcılar,Firuzköy,23842
Avcılar,Gümüşpala,36640
Avcılar,Merkez,27127
Avcılar,Mustafa Kemalpaşa,45213
Avcılar,Tahtakale,66752
Avcılar,Üniversite,29932
Avcılar,Yeşilkent,75314
Bağcılar,100. Yıl,45610
Bağcılar,15 Temmuz,50175
Bağcılar,Bağlar,16993
Bağcılar,Barbaros,20085
Bağcılar,Çınar,32974
Bağcılar,Demirkapı,54498
Bağcılar,Fatih,40177
Bağcılar,Fevzi Çakmak,32364
Bağcılar,Göztepe,40585
Bağcılar,Güneşli,44823
Bağcılar,Hürriyet,25376
Bağcılar,İnönü,22714
Bağcılar,Kazım Karabekir,26664
Bağcılar,Kemalpaşa,31892
Bağcılar,Kirazlı,39528
Bağcılar,Mahmutbey,25326
Bağcılar,Merkez,26835
Bağcılar,Sancaktepe,19196
Bağcılar,Yavuz Selim,27178
Bağcılar,Yenigün,20790
Bağcılar,Yenimahalle,33927
Bağcılar,Yıldıztepe,35884
