DURAK_ADI,display_name
BAHÇEŞEHİR MİGROS TAKSİ DURAAĞI,"Bahçeşehir 2. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34488, Türkiye"
ÇİÇEK TAKSİ,"Zafer Mahallesi, İstanbul, Marmara Bölgesi, 34513, Türkiye"
AVCILAR 3 TAKSİ DURAĞI,"Cihangir Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34310, Türkiye"
AVCILAR(6) ISPARTAKULE TAKSI,"Tahtakale Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
AVCILAR 1 TAKSİ DURAĞI,"Merkez Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
KÜÇÜKÇEKMECE MEYDAN YONCA TAKSİ DURAĞI,"Fatih Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
BASINKÖY TAKSİ DURAĞI,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
OLYMPİA TAKSİ DURAĞI,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
FLORYA TURİZM TAKSİ,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
METRO (FİKRET KARABAĞ) TAKSİ DURAĞI,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
ATAKENT 2.3 ETAP TAKSI,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
KONUT TAKSİ,"Atatürk Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 364303, Türkiye"
FLORYA FLYİNN TAKSİ DURAĞI,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
İSPARK - PENDİK İDO İSKELE ÖNÜ,"Batı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34890, Türkiye"
HİLAL TAKSİ DURAĞI,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye"
YENİDOĞAN MERKEZ TAKSİ DURAĞI,"Merve Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
HASANPAŞA TAKSİ DURAĞI,"Hasanpaşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SSK TAKSİ DURAĞI,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34890, Türkiye"
EYÜP TAŞOCAĞI TAKSİ,"Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 0000, Türkiye"
SÜTLÜCE KÜLTÜR TAKSI-1,"Sütlüce Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - KAĞITHANE ALİBEYKÖY SİLAHTARAĞA BİLGİ ÜNİVERSİTESİ YANI,"Emniyettepe Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
İSKENDERPAŞA TAKSİ,"İskenderpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34120, Türkiye"
İSPARK HORHOR - FATİH,"İskenderpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34120, Türkiye"
İSPARK YENİ KAPI İDO TAKSİ DURAĞI,"Katip Kasım Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK YENİKAPI İDO,"Katip Kasım Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - FATİH BEYAZIT MEYDANI,"Balabanağa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
OKMEYDANI MERKEZ TAKSİ DURAĞI,"Halil Rıfat Paşa Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
KAĞITHANE TERASEVLER TAKSİ DURAĞI,"Talatpaşa Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34398, Türkiye"
İSPARK EMİNÖNÜ İETT DURAKLARI,"Rüstempaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
KAĞITHANE MERKEZ TAKSİ DURAĞI,"Merkez Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye"
SULTANAHMET İMRAN ÖKTEM SOKAK UMUMA AÇIK TAKSİ DURAĞI,"Binbirdirek Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye"
ANTHILL Y.E. TAKSİ DURAĞI (GÜL ESKİ ADI),"Halide Edip Adıvar Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
REŞADİYE CADDESİ EMİNÖNÜ İDO İSKELESİ ÖNÜ UATD,"Hobyar Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34112, Türkiye"
GÜRSEL MERKEZ TAKSİ,"Gürsel Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, Türkiye"
BABIALİ TAKSİ,"Alemdar Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
EMİNÖNÜ SAHİL TAKSİ DURAĞI,"Hocapaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - FATİH TCDD SİRKECİ GAR ÖNÜ,"Hocapaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK SULTANAHMET DALBASTI SOKAK UMUMA AÇIK TAKSİ DURAĞI,"Cankurtaran Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
BEYOĞLU ATIF YILMAZ CAD.,"Şehit Muhtar Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SULTANAHMET İSHAKPAŞA CADDESİ UATD TALEBİ,"Cankurtaran Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
TÜRKİYE HASTANESİ TAKSİ DURAĞI,"Merkez Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34381, Türkiye"
YEREBATAN TAKSİ,"Cankurtaran Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
GALATAPORT TAKSİ DURAĞI,"Kemankeş Karamustafa Paşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
S.S.BÜYÜKŞEHİR TAKSİ DURAĞI,"Büyükşehir Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34520, Türkiye"
METROPOL TAKSİ,"Mehmet Nesih Özmen Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34173, Türkiye"
İSPARK BARBAROS CAD TAKSİ,"Paşabahçe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
VADİ TAKSİ,"Başak Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
OLİVİUM OUTLET CENTER TAKSİ,"Beştelsiz Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
VADİ TAKSİ DURAĞI,"Zekeriyaköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - KADIKÖY İDO İSKELESİ HALDUN TANER SAHNESİ ÖNÜ,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
İSPARK ZEYNEP KAMİL,"Zeynep Kamil Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK MERTER METRO,"Abdurrahman Nafiz Gürman Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34173, Türkiye"
KOCATEPE METRO TAKSİ DURAĞI,"Kocatepe Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34045, Türkiye"
FORUM İSTANBUL TAKSİ DURAĞI,"Kocatepe Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34045, Türkiye"
YEŞİLTEPE TAKSİ DURAĞI,"Yeşiltepe Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - ZEYTİNBURNU 58. BULVAR DEPO DURAĞI,"Nuripaşa Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34025, Türkiye"
ALTIN TAKSİ DURAĞI,"Yenidoğan Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye"
BAYRAMPAŞA MERKEZ STAD TAKSİ DURAĞI,"Altıntepsi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
TERCÜMAN TAKSİ,"Merkezefendi Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
KEMERTÜRK TAKSI,"Mithatpaşa Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34075, Türkiye"
BAĞLARBAŞI TAKSİ DURAĞI,"Bağlarbaşı Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, 34245, Türkiye"
DURAK TAKSİ,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34065, Türkiye"
EYÜP METRO TAKSİ,"Topçular Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34055, Türkiye"
RAMİ MEYDAN ERAY TAKSİ DURAĞI,"Rami Cuma Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
HUZUR TAKSİ DURAĞI,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34065, Türkiye"
